TS time deltat Energy E1 E2 Dissipation Trd volume area area_n E3 Lat_area Epress E_tension1 E_tension2 E_tension3 pressure Zmax stress strain totBonds
5 5.10204e-05 1.05154e-05 0.000271216 0.0001406 0.000130333 0.00229302 0.81603 0.00110481 0.81603 0.81594 2.82885e-07 0.611933 -0.0253282 4.0797 4.0797 3.05961 -22.9503 1 0 0 0.81594
10 0.00010467 1.10573e-05 0.000746404 0.0003938 0.000349746 0.00230448 0.816276 0.00220962 0.816276 0.81594 2.85757e-06 0.611852 -0.0532433 4.0797 4.0797 3.05915 -24.155 1 0 0 0.81594
15 0.000161085 1.16271e-05 0.00132709 0.00070805 0.000607114 0.00227596 0.816654 0.00331443 0.816654 0.81594 1.19213e-05 0.61172 -0.082311 4.0797 4.0797 3.05844 -24.9286 1 0 0 0.81594
20 0.000220407 1.22263e-05 0.00200684 0.00107783 0.000895493 0.00223015 0.817159 0.00441924 0.817159 0.81594 3.3525e-05 0.61154 -0.112246 4.0797 4.0797 3.05749 -25.5307 1 0 0 0.81594
25 0.000282786 1.28564e-05 0.00279946 0.00150725 0.00121655 0.00217362 0.817785 0.00552405 0.817785 0.81594 7.56597e-05 0.611315 -0.142989 4.0797 4.0797 3.05633 -26.0541 1 0 0 0.81594
30 0.00034838 1.3519e-05 0.00373065 0.00200569 0.00157674 0.00210928 0.818535 0.00662886 0.818535 0.81594 0.00014822 0.611045 -0.174597 4.0797 4.0797 3.05493 -26.5475 1 0 0 0.81594
35 0.000417354 1.42157e-05 0.00483602 0.00258661 0.00198639 0.00203869 0.819408 0.00773367 0.819408 0.81594 0.000263014 0.61073 -0.207207 4.0797 4.0797 3.05331 -27.0418 1 0 0 0.81594
40 0.000489883 1.49483e-05 0.00616039 0.00326723 0.00245938 0.00196292 0.820406 0.00883848 0.820406 0.81594 0.00043378 0.61037 -0.24101 4.0797 4.0797 3.05146 -27.5593 1 0 0 0.81594
45 0.00056615 1.57187e-05 0.00775756 0.00406836 0.00301304 0.00188293 0.821532 0.00994329 0.821532 0.81594 0.00067615 0.609964 -0.276246 4.0797 4.0797 3.04938 -28.1172 1 0 0 0.81594
50 0.000646347 1.65288e-05 0.00968963 0.00501417 0.00366796 0.00179977 0.822787 0.0110481 0.822787 0.81594 0.0010075 0.609511 -0.313195 4.0797 4.0797 3.04708 -28.7295 1 0 0 0.81594
55 0.000730678 1.73806e-05 0.0120262 0.00613189 0.00444762 0.00171457 0.824172 0.0121529 0.824172 0.81594 0.00144668 0.609013 -0.352167 4.0797 4.0797 3.04454 -29.4081 1 0 0 0.81594
